week_detailed,Apollon Market,Bankomat.cc,Basetools - Trustcvv,BitBazaar,Brian Dumps,Buybest - GoldenShop,Bypass Shop,DarkMarket,Empire Market,FEshop,Flugsvamp Market 3.0,Hydra Marketplace,Icarus Market,Iceteam Market,Joker's Stash Market,LuxSocks.ru,SlilPP Market,The Canadian Headquarters Market,Try2check,Unicc
2019-12-30/2020-01-05,1340617.285,12545.29608,36880.30249,1085.49873,80367.4382,237946.6066,321943.1364,0,214202.7421,578056.797,278591.8596,15947883.75,0,43518.51575,355235.8459,20401.26305,38741.80921,1098.50597,13386.10687,291488.6716
2020-01-06/2020-01-12,2356380.238,28566.65466,67931.38393,8410.67971,129482.7298,331348.1455,496615.0434,0,391473.9353,1097628.686,463278.1339,21475485.02,0,46962.60577,773168.7919,47092.29404,67502.81514,6774.56383,43348.95638,610473.4982
2020-01-13/2020-01-19,2248301.55,30022.42546,70148.11556,21085.43607,158177.542,320290.3288,531222.6421,0,506231.8467,1066708.052,475255.1809,23417249.75,0,53099.76851,582544.3133,54497.59854,53800.1113,8592.33975,75058.02993,676610.3329
2020-01-20/2020-01-26,2147300.366,22176.41666,60768.70411,14237.4348,168277.9689,301670.9365,528239.3124,0,1036274.147,1029910.315,643286.2433,24900551.74,0,48123.42055,452573.0934,51107.10193,78868.31516,6157.34351,34448.88566,562368.1985
2020-01-27/2020-02-02,1550107.393,15150.90412,67890.98081,32913.34447,194026.8195,263042.2532,532978.9761,0,192844.8795,1013083.151,612309.3103,23205159.97,0,48337.01719,168643.6941,53602.84272,82451.42936,4472.33846,47012.29233,658421.3491
2020-02-03/2020-02-09,474937.2909,19888.80972,73946.47498,116410.0951,163014.9593,275589.2447,521976.7685,300.60407,388679.8892,1021636.08,550634.4585,23735484.15,0,52196.65573,112821.4437,58348.45299,80357.37568,2993.56025,42831.73657,622422.8385
2020-02-10/2020-02-16,289700.6161,20300.36983,67534.5259,166093.7426,69870.1427,258714.187,492875.3281,0,131584.601,1134883.407,437370.5034,25670644.58,0,68894.20735,95702.66127,54055.24995,69264.83442,1690.83307,62962.21265,667643.222
2020-02-17/2020-02-23,120694.9255,22039.8117,76423.93407,135463.6331,185702.2629,261629.8999,537336.3496,0,707232.9365,1061661.039,421417.8449,25157399.47,0,60717.97402,84211.48595,53625.57649,74030.666,2282.5906,48768.0177,724612.1228
2020-02-24/2020-03-01,547.82888,19865.14931,62562.7091,191071.3496,138681.0148,304227.8525,547739.2485,0,1773641.986,962444.1986,619722.9538,24109312.72,0,39202.74862,11432.35052,50720.2026,74758.12774,944.29626,76626.28344,663329.0692
2020-03-02/2020-03-08,215.74074,26506.4912,67170.1802,173422.7014,117106.4306,297375.8261,540229.7359,265.55959,889064.1346,1024303.418,428892.3727,23810524.05,0,39373.7347,83615.98244,62091.01423,78072.06058,1596.19525,81692.88676,690431.301
2020-03-09/2020-03-15,136.89844,20943.88639,55715.08303,179297.1022,51165.3204,249625.6024,480596.0574,0,1489609.622,1060377.339,421063.0375,22721041.55,0,54013.51982,81108.4409,47370.66623,60186.50022,4969.16249,77623.36513,600887.5673
2020-03-16/2020-03-22,310.6171,17605.45549,60282.14438,200127.0564,189130.5246,113747.0127,475798.3329,0,1402095.805,899566.7069,452032.0907,21522320.72,0,46353.16486,202476.2396,55940.45078,71727.37974,2238.65044,74389.37069,551908.336
2020-03-23/2020-03-29,103.013,17655.19998,63070.76015,194411.6599,54418.61385,694.04021,534675.1748,0,657801.8695,918049.08,605025.5183,22578363.56,0,50601.86822,772181.4616,49801.43473,69770.29764,8848.90893,81258.6543,556136.0173
2020-03-30/2020-04-05,370.58793,18671.7373,82536.58109,245078.1006,225731.5567,133.47339,564243.9378,205.34834,1302315.08,1024041.069,524779.0058,19267565.42,0,36478.01498,910632.379,56782.53146,70301.03012,5699.78575,88959.22409,614549.4825
2020-04-06/2020-04-12,0,20145.64294,78485.787,250044.8469,111388.8854,397.73793,582127.6243,723.42796,997574.2962,1094948.661,440106.2322,22337528.13,0,45034.05836,909234.1294,65557.1073,51815.80133,4713.41056,58255.97795,778636.252
2020-04-13/2020-04-19,0,26226.08817,79477.85819,251748.2691,85063.37653,268.8345,651748.6821,562.87142,1996360.589,1366677.431,519018.4467,21255798.24,0,44650.84107,965224.2258,66662.73572,49661.34372,2171.07423,73191.88899,853440.9111
2020-04-20/2020-04-26,0,25031.91319,96013.38632,239500.668,349190.522,66.8604,614260.0741,4973.37539,1805647.065,1343939.017,664335.7595,21293608.82,106.90346,45127.3227,968392.6382,71367.45657,58662.8246,102.48602,71974.91824,997182.8696
2020-04-27/2020-05-03,0,24512.84296,99390.49118,241275.0276,215314.5166,78.83156,637974.1756,1556.53676,954523.7671,1588374.553,636911.4625,21874243.24,1110.37521,46434.1389,1003663.213,67084.61919,58329.77576,5491.6077,85297.76201,978624.5194
2020-05-04/2020-05-10,0,34723.8638,97390.57914,274597.3069,185959.5118,81.3867,776815.2301,1755.71402,858343.5507,1904169.389,541508.1566,21518700.17,4290.78171,62166.39924,995862.172,73148.72943,77142.22162,5283.31674,62968.49029,945829.3683
2020-05-11/2020-05-17,0,45098.67774,93025.6074,260667.3421,171438.8628,2.83871,593152.6539,82437.95599,1137958.37,1710199.433,503889.6324,22173837.52,9362.75878,65907.336,1096140.211,75920.76194,76484.39725,1633.59252,78243.10111,1119868.78
2020-05-18/2020-05-24,0,41162.65681,93064.46569,281102.5417,129227.7557,4.26452,628532.846,262368.0756,1483084.521,1400668.743,516958.2567,25993939.03,16504.8675,54533.54915,993854.3873,82728.70298,68971.42058,6630.6318,51698.84454,1053613.159
2020-05-25/2020-05-31,0,34623.91443,101679.0792,266501.652,47655.70918,2.39578,580863.7863,187585.4052,1900612.816,1341565.426,835923.4574,25924157.46,29076.99259,60969.90132,984306.0968,80332.44442,61804.34708,3312.66617,49870.73595,926719.5931
2020-06-01/2020-06-07,0,45869.12646,123838.84,257276.4453,214924.5881,37.76801,530481.9819,228822.9326,1482533.655,1383492.029,612734.0881,26603243.63,41914.28514,73272.12633,768015.5062,82375.64079,67524.04324,1561.3369,85932.27492,958045.3073
2020-06-08/2020-06-14,0,45842.52873,101066.537,199406.9783,178730.4094,2.77534,517358.7615,199435.2317,1055438.539,1433847.66,690785.7471,27397122.51,35458.72756,82125.01369,924662.6503,77080.99186,76217.37532,22339.05817,70172.61027,1059834.032
2020-06-15/2020-06-21,0,47873.22288,94227.45637,910.46896,115504.4107,32.26378,550072.9832,152932.7054,2006703.201,1320030.053,550033.1224,25944470.96,36982.77222,65059.87093,784165.6256,79299.16154,89939.43745,69458.05626,88456.178,1165374.42
2020-06-22/2020-06-28,0,41211.691,89258.25613,0,277702.6957,2.79431,621048.056,148835.1059,1602495.76,1330525.069,786111.1143,28312185.77,59653.46466,59114.06294,700201.1301,70039.46051,82149.21293,56629.86632,63963.43371,1105380.719
2020-06-29/2020-07-05,0,48721.95871,110549.2667,376.31502,113088.7963,2.80533,616281.8931,132632.9285,1819313.182,1296808.537,787577.1002,29907617.75,65053.35596,57558.33747,867096.8006,102925.0722,82880.28269,74553.28385,116336.8822,1170614.473
2020-07-06/2020-07-12,0,66628.7324,93203.13734,16.96828,121770.1717,73.55174,623533.0415,149706.2295,2208324.135,1181750.404,711130.4813,28101626.06,87320.63057,47355.05091,931099.7126,112037.7108,53800.35722,51605.05751,74840.72161,1210812.539
2020-07-13/2020-07-19,0,55946.40986,95600.8769,0,120119.1986,6.58855,599547.0065,208508.14,1908390.845,1138513.934,682694.9715,27838986.96,30761.3333,57696.49986,661443.296,112253.315,50839.66884,8599.37306,116674.8861,1301684.737
2020-07-20/2020-07-26,0,44356.60797,97701.15162,0,47718.36715,1.64741,599897.3341,190675.5607,1458684.521,1154444.752,863068.0989,26471785.94,56469.11834,64639.38369,790916.619,87899.58356,87490.6349,35108.63253,28691.01171,1352126.783
2020-07-27/2020-08-02,0,32787.85283,103461.2801,0,173630.0501,33.3144,504118.0638,143530.1412,918895.7337,1341752.332,892323.5804,29461575.48,86246.33985,52612.52032,728250.6498,88116.01847,129287.0859,42787.7072,61024.09145,1271029.941
2020-08-03/2020-08-09,0,45527.53915,121682.5345,0,108061.168,2.82146,497029.3019,172278.3143,1536531.463,1171732.725,684800.8259,31405800.61,97931.75159,67346.89529,745944.8497,91153.47729,115037.5341,56393.80924,74521.63538,1180017.923
2020-08-10/2020-08-16,0,40029.93705,116551.5794,0,98332.72044,2.79092,444225.5467,177906.8434,1764399.533,1082781.396,606507.7562,30837827.39,116294.3387,70087.05146,667598.8636,84769.25895,83710.9205,101130.7885,83110.09569,1378595.429
2020-08-17/2020-08-23,0,43384.37434,115365.5513,0,3794.25281,1.57551,477609.0696,323949.6443,1025200.216,1207008.364,640551.3379,30709274.44,377109.1218,56611.33356,644342.8958,80459.60624,81780.32698,132205.5471,92184.58641,1269369.487
2020-08-24/2020-08-30,0,41199.87678,117556.3572,0,25404.86576,2.00203,504648.8933,1174021.976,187.5159,1284678.155,963939.7462,30706367.7,1233727.076,61730.18369,762339.0217,74677.7974,79121.97225,138654.9436,113712.7124,1201553.26
2020-08-31/2020-09-06,0,35754.1807,110461.444,0,297990.076,0.40333,537776.2631,1667900.196,412.51314,1331116.062,729456.9664,26837351.76,1158015.029,53716.49625,727633.9773,84564.82861,78985.8733,103973.0982,135592.8296,1124273.018
2020-09-07/2020-09-13,0,40711.79595,32152.12343,0,10426.753,112.69665,526768.8928,1213286.462,581.00583,1044686.611,667595.177,27485562.63,370485.7947,57841.43181,430758.9182,90350.32264,83897.26396,96928.74533,120818.1598,872157.3335
2020-09-14/2020-09-20,0,46560.96366,74.64931,0,9644.13215,0,538748.7015,2006230.673,1128.24613,1035702.826,641146.7026,26746081.03,22.59956,59861.8996,62462.107,86639.4657,95168.64933,155734.159,104686.3377,909847.456
2020-09-21/2020-09-27,0,49590.76238,0,0,29321.8279,0,531135.6157,2253839.35,163.1456,958496.1624,849497.0704,26424348.2,1.01279,45276.19695,59432.58936,56196.26398,112562.1129,147852.7894,114402.703,977206.9807
2020-09-28/2020-10-04,0,58428.66091,0,0,256337.5154,0,517424.0045,2165920.611,212.18272,968322.1819,772565.1715,26171663.55,1.38215,55713.63521,66325.9485,55128.15182,143996.2309,120260.6992,86238.01886,1108902.835
2020-10-05/2020-10-11,0,67578.70365,0,1.00164,43761.11467,0.80496,565823.5128,2316557.114,50.05414,807020.3845,678819.0511,27302534.07,0.61335,55256.35372,780.29684,56648.3478,166920.9969,150735.5992,84212.46536,1241015.63
2020-10-12/2020-10-18,0,68382.44287,0,1.19751,247162.1359,0.99871,566592.6749,2399791.176,0,1012144.307,582637.5475,28150311.09,0.79911,61389.37829,6760.84987,55237.42159,136014.7093,109051.3207,96972.56695,1140752.725
2020-10-19/2020-10-25,0,82448.60251,0,1.02649,14128.9747,1.20415,533560.3068,2552368.89,0,957656.8441,814655.6781,28461501.52,41.85162,53764.76544,72140.35218,59595.93304,127245.7739,164202.8918,101877.4287,1212829.871
2020-10-26/2020-11-01,0,89206.80529,0,0.1996,18229.13459,0.19965,528273.6288,2187740.691,0,990568.2438,809377.6526,31488118.29,0.62058,45027.97962,69661.87714,61514.00862,113443.0697,159953.0898,70467.04521,1283636.173
2020-11-02/2020-11-08,0,98024.7175,0,0.83287,15624.63335,0.64996,507530.5734,1944251.717,2661.07516,1067885.919,657852.8862,27302985.36,0.79726,37397.92717,75631.75771,60190.44291,85796.77998,189589.3406,71467.9294,1379078.117
2020-11-09/2020-11-15,0,100488.147,0,0,338545.6745,58.04127,505313.3593,1803179.936,244.72484,1172331.809,638477.1144,27960089.03,0.60133,46070.96583,87265.7612,58963.8508,99032.99379,172600.1052,77428.49731,1443220.044
2020-11-16/2020-11-22,0,92565.5644,19.21534,0,15368.56667,0,495749.7691,2095692.354,155.60526,1090427.24,713606.5915,27572745.08,5.30165,44551.3461,96908.90541,56670.48661,119453.5002,208102.2773,76549.56739,1336437.991
2020-11-23/2020-11-29,39.20648,94588.00079,0,0,30549.83605,28.57947,514643.863,1569690.616,144.93322,1089334.161,912917.3105,26353298.76,0,36855.67896,102229.9294,56931.88518,104437.3495,51413.99728,110971.1016,1349794.391
2020-11-30/2020-12-06,0,120770.0159,0,0,352364.2801,0,518726.1646,1846652.118,26.93329,833333.9816,818470.0868,28634309.73,0,35218.42113,102435.37,64241.73262,108287.1736,101256.4994,64712.99704,1590561.908
2020-12-07/2020-12-13,0,126968.9431,0,0,44984.40287,0,533863.865,1816642.517,0,1010960.739,800994.8378,28794941.1,0,43832.46405,97220.08283,52860.30092,128930.0962,48728.91806,90008.45327,1700688.323
2020-12-14/2020-12-20,0,134824.4538,0,0,252073.2859,0,569938.6847,2090522.017,0,1203439.75,874290.0026,29568509.35,0,49422.08056,87198.2741,64447.96166,149657.2789,33290.56292,89993.2373,1747193.993
2020-12-21/2020-12-27,0,113674.0087,0,0,91577.28321,0,486222.8642,1482918.012,687.51296,1078231.126,838932.9918,31325541.84,0,35771.08962,21335.90614,43488.25387,136919.4575,9136.05418,82563.66756,1369646.411
2020-12-28/2021-01-03,0,117843.1957,23.08177,0,54163.18936,0,32605.59135,1568098.675,72.09864,1014435.54,637526.2765,35037248,0,59953.22152,86131.17955,38774.76044,178432.6459,18113.04646,71380.82837,1213658.181
2021-01-04/2021-01-10,61.95572,197102.2762,0,0,266087.2085,0,9160.33934,1604257.252,0,1039750.938,609789.1497,27267465.39,0,41022.28728,80776.72548,52477.36445,123229.0428,22546.74396,63881.20829,1436423.064
2021-01-11/2021-01-17,0,277793.2225,0,0,73142.71829,0,7003.3109,60.64105,0,1039908.189,622987.1217,26326257.86,0,48395.23289,126.69292,51748.34676,117484.6374,8745.10668,90041.81043,1363463.283
2021-01-18/2021-01-24,0,133745.7756,0,0,12114.09108,0,993.85085,2.17467,0,502434.0899,355729.4542,8256667.393,0,14824.36732,278.33286,23107.79841,31139.61092,4135.99818,33238.6197,613465.3273